simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.005,7,62
4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.01,7,49
4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.02,7,43
4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.005,3,34
4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.01,3,28
4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.02,3,21
4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.005,5,52
4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.01,5,42
4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.02,5,34
4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.005,7,72
4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.01,7,54
4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.02,7,46
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.005,3,48
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.01,3,34
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.02,3,26
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.005,5,68
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.01,5,53
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.02,5,41
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.005,7,86
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.01,7,68
4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.02,7,54
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.005,3,23
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.01,3,20
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.02,3,17
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.005,5,33
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.01,5,30
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.02,5,27
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.005,7,41
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.01,7,39
5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.02,7,37
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.005,3,23
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.01,3,19
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.02,3,16
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.005,5,32
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.01,5,29
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.02,5,27
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.005,7,41
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.01,7,39
5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.02,7,36
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.005,3,36
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.01,3,28
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.02,3,21
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.005,5,47
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.01,5,41
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.02,5,35
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.005,7,57
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.01,7,51
5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.02,7,45
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.005,3,28
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.01,3,23
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.02,3,19
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.005,5,37
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.01,5,34
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.02,5,30
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.005,7,46
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.01,7,43
5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.02,7,40
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.005,3,19
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.01,3,17
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.02,3,15
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.005,5,88
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.01,5,26
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.02,5,25
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.005,7,
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.01,7,35
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.02,7,34
