ruleset,simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.005,7,72
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.01,7,54
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.02,7,46
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.005,3,48
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.01,3,34
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.02,3,26
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.005,5,68
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.01,5,53
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.02,5,41
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.005,7,86
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.01,7,68
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.02,7,54
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.005,3,23
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.01,3,20
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.02,3,17
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.005,5,33
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.01,5,30
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.02,5,27
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.005,7,41
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.01,7,39
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.02,7,37
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.005,3,23
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.01,3,19
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.02,3,16
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.005,5,32
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.01,5,29
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.02,5,27
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.005,7,41
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.01,7,39
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.02,7,36
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.005,3,36
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.01,3,28
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.02,3,21
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.005,5,47
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.01,5,41
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.02,5,35
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.005,7,57
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.01,7,51
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.02,7,45
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.005,3,28
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.01,3,23
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.02,3,19
